amount,risk_level,result
1000,Low,Safe
5000,Medium,Safe
15000,High,Fraud
2000,Low,Safe
7500,Medium,Safe
25000,High,Fraud
3000,Low,Safe
10000,Medium,Fraud
35000,High,Fraud
1500,Low,Safe
6000,Medium,Safe
20000,High,Fraud
2500,Low,Safe
8000,Medium,Safe
30000,High,Fraud
1800,Low,Safe
7000,Medium,Safe
22000,High,Fraud
4000,Low,Safe
9000,Medium,Fraud
15000,High,Fraud
2200,Low,Safe
6500,Medium,Safe
18000,High,Fraud
3500,Low,Safe
8500,Medium,Fraud
28000,High,Fraud
1200,Low,Safe
5500,Medium,Safe
12000,High,Fraud
2800,Low,Safe
7800,Medium,Safe
24000,High,Fraud
1600,Low,Safe
6200,Medium,Safe
19000,High,Fraud
3200,Low,Safe
8200,Medium,Fraud
26000,High,Fraud
1900,Low,Safe
6800,Medium,Safe
21000,High,Fraud
2400,Low,Safe
7200,Medium,Safe
23000,High,Fraud
1300,Low,Safe
5800,Medium,Safe
16000,High,Fraud
2600,Low,Safe
7400,Medium,Safe
27000,High,Fraud
2000,Low,Safe
6600,Medium,Safe
17000,High,Fraud
3100,Low,Safe
7900,Medium,Fraud
29000,High,Fraud
1400,Low,Safe
6100,Medium,Safe
13000,High,Fraud
2700,Low,Safe
7600,Medium,Safe
25000,High,Fraud
1700,Low,Safe
6900,Medium,Safe
20000,High,Fraud
2300,Low,Safe
7100,Medium,Safe
22000,High,Fraud
1100,Low,Safe
5700,Medium,Safe
11000,High,Fraud
2900,Low,Safe
7700,Medium,Fraud
28000,High,Fraud
1800,Low,Safe
6300,Medium,Safe
18000,High,Fraud
3300,Low,Safe
8100,Medium,Fraud
26000,High,Fraud
1500,Low,Safe
5900,Medium,Safe
14000,High,Fraud
2500,Low,Safe
7300,Medium,Safe
24000,High,Fraud
2100,Low,Safe
6700,Medium,Safe
19000,High,Fraud
3400,Low,Safe
8300,Medium,Fraud
27000,High,Fraud
1600,Low,Safe
6400,Medium,Safe
15000,High,Fraud
3600,Low,Safe
8400,Medium,Fraud
30000,High,Fraud
1200,Low,Safe
5600,Medium,Safe
12000,High,Fraud
2800,Low,Safe
7500,Medium,Safe
25000,High,Fraud
1900,Low,Safe
6800,Medium,Safe
21000,High,Fraud
3200,Low,Safe
8000,Medium,Fraud
26000,High,Fraud
